rating,reviewer_name,reviewer_name_normalized,review_text,review_text_normalized,review_date,review_date_normalized,variant,variant_normalized,rating_filter,scraped_at
1,iqwan,iqwan,"Pengiriman sangat lama. Walaupun diluar pihak penjual, tetapi ini mempengaruhi pelayanan terjadap konsumen, sehingga saya merasa kurang puas belanja disini. Meskipun bara...",pengiriman sangat lama walaupun diluar pihak penjual tetapi ini mempengaruhi pelayanan terjadap konsumen sehingga saya merasa kurang puas belanja disini meskipun bara,9 bulan lalu,9 bulan lalu,Space Grey,Space Grey,1,2025-07-15 20:09:02
1,A***l,A l,"segini banget packingannya,untung isinya aman gak tercecer di jalan..ngerii ngeri pake kurir rekomendasi. dari awal juga nda ada pilihan packing kayunya. semoga matepadny...",segini banget packingannya untung isinya aman gak tercecer di jalan ngerii ngeri pake kurir rekomendasi dari awal juga nda ada pilihan packing kayunya semoga matepadny,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,1,2025-07-15 20:09:02
1,c***i,c i,"keyboard mati, masa cuman gara2 barang harus PO dlu terus barang gak di cek kualitas sih? sudah ke service center jga tetap mati, di janjikan ganti unit tapi gak tau samp...",keyboard mati masa cuman gara2 barang harus po dlu terus barang gak di cek kualitas sih sudah ke service center jga tetap mati di janjikan ganti unit tapi gak tau samp,Lebih dari 1 tahun lalu,Lebih dari 1 tahun lalu,Grey+Proteksi,Grey Proteksi,1,2025-07-15 20:09:02
1,Johanes,Johanes,"HUAWEI it self a good brand and quality, unfortunately the person behind huawei online via tokopedia, is able to change the specification bonus without prior notice. Fir...",huawei it self a good brand and quality unfortunately the person behind huawei online via tokopedia is able to change the specification bonus without prior notice fir,11 bulan lalu,11 bulan lalu,Violet + EWS,Violet EWS,1,2025-07-15 20:09:03
1,J***h,J h,"Ga kepake, ngga compatible dgn banyak platform, mau google meet aja gabisa. Semua harus download apps non official jd trust issues dgn keamanan. Pdhal build produknya bag...",ga kepake ngga compatible dgn banyak platform mau google meet aja gabisa semua harus download apps non official jd trust issues dgn keamanan pdhal build produknya bag,9 bulan lalu,9 bulan lalu,Grey+Proteksi,Grey Proteksi,1,2025-07-15 20:09:03
1,d***g,d g,"pengiriman lama... pelayanan cs kaya ****** packing nya hancur, untung barang aman... saya harus mencari barang nya di bbrp counter di jakarta dan semarang karena barang...",pengiriman lama pelayanan cs kaya packing nya hancur untung barang aman saya harus mencari barang nya di bbrp counter di jakarta dan semarang karena barang,11 bulan lalu,11 bulan lalu,Spcae Grey+EWS,Spcae Grey EWS,1,2025-07-15 20:09:03
1,Kurniawan,Kurniawan,"Gak dapat m pencil, dalih promo berubah-ubah",gak dapat m pencil dalih promo berubah ubah,7 bulan lalu,7 bulan lalu,Space Grey,Space Grey,1,2025-07-15 20:09:03
1,Andre,Andre,"Tidak sesuai deskripsi.chat awal akn diberi keyboard + m pencil.Stlh dikirim,tdk ad m pencil-nya.Saat ditanya ""Kenapa tdk ad m pencil-nya?"" Katanya: kosong.Penjua...",tidak sesuai deskripsi chat awal akn diberi keyboard m pencil stlh dikirim tdk ad m pencil nya saat ditanya kenapa tdk ad m pencil nya katanya kosong penjua,4 bulan lalu,4 bulan lalu,Space Grey,Space Grey,1,2025-07-15 20:09:03
1,M***d,M d,"Kecewa, barang tidak terkirim dan hilang, tapi saya tidak mendapat penggantian atas asuransi pengiriman.",kecewa barang tidak terkirim dan hilang tapi saya tidak mendapat penggantian atas asuransi pengiriman,9 bulan lalu,9 bulan lalu,Space Grey,Space Grey,1,2025-07-15 20:09:03
1,Nabil,Nabil,,,12 bulan lalu,12 bulan lalu,Violet + EWS,Violet EWS,1,2025-07-15 20:09:03
1,R***n,R n,,,10 bulan lalu,10 bulan lalu,Space Grey,Space Grey,1,2025-07-15 20:09:13
1,Anwar,Anwar,,,11 bulan lalu,11 bulan lalu,Space Grey,Space Grey,1,2025-07-15 20:09:13
