rating,text,reviewer,variant,date,original_text
1,pengiriman sangat lama walaupun diluar pihak penjual tetapi ini mempengaruhi pelayanan terjadap konsumen sehingga saya merasa kurang puas belanja disini meskipun bara,iqwan,Space Grey,9 bulan lalu,"Pengiriman sangat lama. Walaupun diluar pihak penjual, tetapi ini mempengaruhi pelayanan terjadap konsumen, sehingga saya merasa kurang puas belanja disini. Meskipun bara..."
1,segini banget packingannya untung isinya aman gak tercecer di jalan ngerii ngeri pake kurir rekomendasi dari awal juga nda ada pilihan packing kayunya semoga matepadny,A l,Grey Proteksi,Lebih dari 1 tahun lalu,"segini banget packingannya,untung isinya aman gak tercecer di jalan..ngerii ngeri pake kurir rekomendasi. dari awal juga nda ada pilihan packing kayunya. semoga matepadny..."
1,keyboard mati masa cuman gara2 barang harus po dlu terus barang gak di cek kualitas sih sudah ke service center jga tetap mati di janjikan ganti unit tapi gak tau samp,c i,Grey Proteksi,Lebih dari 1 tahun lalu,"keyboard mati, masa cuman gara2 barang harus PO dlu terus barang gak di cek kualitas sih? sudah ke service center jga tetap mati, di janjikan ganti unit tapi gak tau samp..."
1,huawei it self a good brand and quality unfortunately the person behind huawei online via tokopedia is able to change the specification bonus without prior notice fir,Johanes,Violet EWS,11 bulan lalu,"HUAWEI it self a good brand and quality, unfortunately the person behind huawei online via tokopedia, is able to change the specification bonus without prior notice. Fir..."
1,ga kepake ngga compatible dgn banyak platform mau google meet aja gabisa semua harus download apps non official jd trust issues dgn keamanan pdhal build produknya bag,J h,Grey Proteksi,9 bulan lalu,"Ga kepake, ngga compatible dgn banyak platform, mau google meet aja gabisa. Semua harus download apps non official jd trust issues dgn keamanan. Pdhal build produknya bag..."
1,pengiriman lama pelayanan cs kaya packing nya hancur untung barang aman saya harus mencari barang nya di bbrp counter di jakarta dan semarang karena barang,d g,Spcae Grey EWS,11 bulan lalu,"pengiriman lama... pelayanan cs kaya ****** packing nya hancur, untung barang aman... saya harus mencari barang nya di bbrp counter di jakarta dan semarang karena barang..."
1,gak dapat m pencil dalih promo berubah ubah,Kurniawan,Space Grey,7 bulan lalu,"Gak dapat m pencil, dalih promo berubah-ubah"
1,tidak sesuai deskripsi chat awal akn diberi keyboard m pencil stlh dikirim tdk ad m pencil nya saat ditanya kenapa tdk ad m pencil nya katanya kosong penjua,Andre,Space Grey,4 bulan lalu,"Tidak sesuai deskripsi.chat awal akn diberi keyboard + m pencil.Stlh dikirim,tdk ad m pencil-nya.Saat ditanya ""Kenapa tdk ad m pencil-nya?"" Katanya: kosong.Penjua..."
1,kecewa barang tidak terkirim dan hilang tapi saya tidak mendapat penggantian atas asuransi pengiriman,M d,Space Grey,9 bulan lalu,"Kecewa, barang tidak terkirim dan hilang, tapi saya tidak mendapat penggantian atas asuransi pengiriman."
2,percuma po benefits yg didapet sma ky yg setelah po kualitas packing barang kacau parah ini bagian pengirimannya klo barang diterima sampai rusak gimana,R i,Grey Proteksi,Lebih dari 1 tahun lalu,"percuma PO benefits yg didapet sma ky yg setelah PO. kualitas packing barang kacau, parah ini bagian pengirimannya. klo barang diterima sampai rusak gimana?!"
